ICRF J034423.1+155943  0341+158    0.70    -7.5   -52.9    0.39    1.23    0.39    0.15    27.4    22
ICRF J050842.3+843204  0454+844    0.89    -0.6     6.7    4.87    0.40    0.16    0.08    36.5   343
ICRF J013738.3-243053  0135-247    0.97    32.0   -26.6    1.83    0.82    1.95    0.83    26.9    40
ICRF J045550.7-461558  0454-463    1.21   -65.2   155.8    0.78    0.41    0.51    0.61    23.4   126
ICRF J214710.1+092946  2144+092    0.73   -15.0     6.4    0.78    0.58    0.14    0.13    31.8   119
ICRF J131103.2+551354  1308+554    0.89    25.3    31.5    1.67    0.71    0.86    0.46    21.9    33
ICRF J215806.2-150109  2155-152    0.99   119.6   -73.2    4.28    2.77    1.00    0.50    29.4    59
ICRF J045005.4-810102  0454-810    1.23    -4.8   -22.6    0.73    0.38    0.33    0.23    28.7   155
ICRF J144516.4+095836  1442+101    0.74    15.6     2.7    0.58    0.57    0.75    0.91    22.8    40
ICRF J044331.6+344106  0440+345    0.90     9.2   -30.5    0.48    0.49    0.26    0.23    24.8    58
ICRF J041636.5-185108  0414-189    1.00     1.6    25.9    0.52    0.65    0.14    0.32    29.6   154
ICRF J100614.0-501813  1004-500    1.24   -72.1    65.6    6.39    1.04    0.97    0.55    13.0    87
ICRF J001937.8+202145  0017+200    0.75   -61.9    -8.4    0.22    0.24    0.00    0.00    20.7   184
ICRF J004847.1+315725  0046+316    0.92    13.2   -23.6    0.24    0.59    0.03    0.30    13.6    24
ICRF J170053.1-261051  1657-261    1.02   -10.1    16.7    2.00    0.68    0.95    0.30    29.5   483
ICRF J105104.7-313814  1048-313    1.24   118.0    85.2    6.35    1.14    2.02    0.55    22.1    29
ICRF J210841.0+143027  2106+143    0.76     7.0   -41.2    1.45    0.65    0.44    0.43    20.1    36
ICRF J074202.7+490015  0738+491    0.96    -0.2    15.7    0.86    0.34    0.14    0.11    21.5   132
ICRF J155941.4-244238  1556-245    1.03   -78.1    58.5    3.93    1.05    1.83    0.62    13.9    23
ICRF J040221.2-314725  0400-319    1.26   -40.5    27.7    1.26    1.30    0.18    0.62    24.3    83
