## This list was generated at 2016-10-26 00:15:28
##format:
##soure  Num_ave    R.A.                 Decl.            
##                mean  Std  AStd WAd | mean  Std  AStd WAd
## Num_ave: Number of one-year average points
## unit: deg for mean while mas for the others
0426+273   10      67.4707       0.3663       0.1353       0.1918      27.4105       0.4768       0.1950       0.2375
0426-380    5      67.1684       0.5654       0.5959       0.6504     -37.9388       0.4457       0.4819       0.5220
0430+289   12      68.4076       0.4389       0.2486       0.1825      29.0987       0.4449       0.2973       0.1917
0434-188   23      69.2562       0.7942       1.0671       0.3065     -18.7468       1.2731       0.7017       0.5425
0436-129    5      69.6459       1.9330       1.9882       1.0772     -12.8509       1.9219       0.5834       0.4752
0437-454   12      69.7536       1.1362       0.6702       1.0064     -45.3729       0.7426       0.5647       0.7438
0438-436    7      70.0716       1.6245       0.9191       0.5452     -43.5524       1.3901       0.1688       0.1037
0440+345    9      70.8818       0.4814       0.2158       0.2626      34.6852       0.4909       0.2361       0.2323
0442+389    4      71.5479       0.7788       0.1363       0.1442      39.0047       0.3822       0.1554       0.1455
0446+112   10      72.2820       0.2908       0.6639       0.0881      11.3579       0.3675       0.7103       0.1038
0451-282   11      73.3110       0.7173       1.0481       0.2701     -28.1270       0.9938       0.9799       0.3458
0454+844   21      77.1765       4.8698       0.3733       0.1629      84.5346       0.4034       0.1343       0.0776
0454-234   29      74.2632       0.7473       0.1565       0.1312     -23.4145       0.6705       0.1512       0.1096
0454-463    4      73.9616       0.7785       0.8895       0.5064     -46.2663       0.4077       0.8248       0.6108
0454-810   11      72.5227       0.7350       0.9192       0.3345     -81.0173       0.3769       0.3687       0.2319
0458+138    1      75.4386       0.1991       0.9192       0.0000      13.9353       0.7653       0.3687       0.0000
0458-020   25      75.3034       0.3324       0.1125       0.0501      -1.9873       0.5630       0.1464       0.1074
0502+049    3      76.3466       0.1275       0.1162       0.0688       4.9952       0.1122       0.3854       0.1696
0506+101    8      77.3644       0.3200       0.5411       0.2623      10.1957       0.4557       1.7196       0.2982
0506-612   13      76.6833       0.5508       0.5487       0.3758     -61.1614       0.2614       0.3985       0.2911
