0239+108 22 17 39.8729 0.3914 1.9905 0.2330 11.0169 0.6548 6.6209 0.5236  4
0239+175  9  7 38.6756 3.1092 4.2144 4.2723 17.7163 7.6357 15.2221 11.1661 11
0248+430 15 12 31.2404 0.5036 0.6142 0.2961 43.2544 0.4207 0.2450 0.1906  5
0252-549 12  6 25.0641 0.7249 0.6548 0.4560 -54.6976 0.7138 0.4715 0.5130  3
0256+075 20 16 44.4483 0.3079 0.6240 0.2656 7.7943 0.7920 1.6563 0.5692  2
0256-005 10  8 44.8681 0.2656 0.1268 0.1111 -0.3333 1.0097 0.6281 0.3770 10
0300+470 31 27 31.1423 1.1541 0.5931 0.2156 47.2712 0.9210 0.4300 0.1816  4
0302+625 20 16 21.3963 4.2374 2.7487 2.0971 62.7172 12.4786 8.5759 6.9527  3
0302-623 20 18 21.4424 14.5977 14.5670 9.2107 -62.1904 18.9461 9.5964 5.3526  7
0305+039 11  9 46.9881 0.5025 0.2010 0.1936 4.1109 0.7660 0.4299 0.2898  4
0306+102 24 20 46.4755 0.3686 0.3440 0.2931 10.4879 0.6051 0.8109 0.4710  2
0307+380 11  9 37.4667 1.1946 0.2781 0.2273 38.2483 2.7255 0.6602 0.6108 11
0308-611 24 21 23.0369 4.0994 2.2169 1.0161 -60.9775 5.3830 3.0499 1.2548  3
0309+411 23 18 36.2359 6.8124 2.5871 4.9068 41.3337 16.7340 5.3269 11.2396  3
0317+188 14 11 47.2343 1.3478 0.5999 0.5005 19.0254 1.1316 0.7261 0.4722  2
0319+121 20 15 49.3026 0.3234 0.7481 0.1765 12.3539 0.7275 1.6474 0.2823  6
0322+222 14 10 47.5248 0.5480 0.3309 0.2865 22.4001 0.5913 0.3430 0.1862  3
0332+078 10  8 53.1988 0.4040 0.1829 0.1818 8.0040 0.7071 0.5202 0.4734 12
0332-403 17 12 40.9425 0.4538 0.7943 0.1517 -40.1404 0.4761 0.9084 0.1721  7
0333+321 25 19 45.7461 8.9001 2.7267 0.5984 32.3082 10.8264 7.9110 0.3552  4
0334-546 15  7 31.3379 1.9136 3.1385 2.3261 -54.5070 1.4227 3.2900 1.6013  4
0336-019 34 32 54.8525 1.3942 15.7754 0.1447 -1.7766 4.4929 12.8948 0.1035  3
0338-214 19 16 51.3724 1.6613 0.7156 1.0149 -21.3253 1.4150 0.8143 0.7038  6
0340+362 10  7 44.9872 0.4902 0.3701 0.4420 36.3701 0.5149 0.3054 0.3743  9
0342+147 23 18 54.3852 0.3090 0.7790 0.2996 14.8971 0.5453 1.4289 0.5200  3
0345+460 10  7 39.7034 0.7545 0.2684 0.2873 46.1666 0.6202 0.2309 0.2339  9
0346-279  9  7 50.5522 0.5553 0.2005 0.2419 -27.8204 0.6628 0.3507 0.4230 11
0347-211 10  8 53.6556 3.1418 1.7444 1.9053 -21.0466 2.0495 1.1801 0.4771 10
0355+508 36 35 37.7092 3.9500 2.9533 2.0053 50.9639 2.7358 4.4931 1.7223  1
0358+210 10  5 56.3576 1.0462 0.4095 0.6392 21.1746 1.1643 0.8874 0.8048  7
0400+258 21 16 54.6225 0.4786 1.3084 0.3147 26.0004 0.4954 2.2379 0.3901  4
0400-319 19 14 51.4991 1.3291 1.0421 0.7357 -31.7905 1.3055 0.8326 0.5715  3
0402-362 28 27 49.2765 6.3225 11.5322 5.2309 -36.0839 4.1482 5.1459 2.2052  1
0403-132 17 11 59.7850 2.3755 2.9193 2.1179 -13.1371 3.8447 8.8902 3.5243  7
0405-123 17 12 60.5542 0.2769 7.7195 0.2169 -12.1935 0.6994 0.7370 0.6893  3
0405-385 23 20 48.3624 1.0328 0.3750 0.2309 -38.4411 1.0016 0.4861 0.3053  3
0406+121 18 14 60.9120 0.4607 1.5977 0.3804 12.2944 0.8675 1.6918 0.7750  4
0406-127 18 12 60.7632 2.2437 1.9551 2.9288 -12.6467 6.7624 5.3797 10.4899  4
0414-189 21 17 60.7108 0.5624 0.9606 0.2122 -18.8523 0.7348 1.7352 0.3209  7
0415+398 10  8 49.7281 1.6625 0.4490 0.4505 39.9247 0.5364 0.1555 0.1848 11
0420+022 10  7 65.6635 0.2356 0.0646 0.0786 2.3241 0.3383 0.2430 0.1570 10
0420+417 17 13 49.1628 5.2753 2.9926 3.9430 41.8341 1.0400 0.7297 0.2327  4
0420-014 33 31 65.7978 0.4651 2.3038 0.1088 -1.3425 1.2424 7.0946 0.2473  4
0422+004 27 23 66.1915 0.2829 1.2802 0.1392 0.6018 0.8210 8.0771 0.4251  4
0422-380 21 16 52.1907 3.4204 1.7737 1.4591 -37.9391 3.5156 0.8246 0.6594  3
0426+273 17 15 59.8958 0.9294 0.3213 0.3385 27.4105 0.9166 0.3572 0.3971  4
0426-380 15  7 52.9736 1.5870 2.3348 1.0331 -37.9388 0.5931 0.9797 0.5474  4
0430+289 17 12 59.7734 1.0881 0.8636 0.6264 29.0987 3.5487 4.0329 3.0844  2
0434-188 29 28 65.5820 0.9011 1.4733 0.4644 -18.7468 1.3259 1.0129 0.6379  1
0436-129 10  8 67.9014 3.1018 1.9154 2.3615 -12.8509 3.6083 4.2729 2.8505 10
0437-454 21 19 49.0011 30.4805 94.1770 31.4324 -45.3729 15.9728 18.7149 4.7971  4
0438-436 20 12 50.7840 5.7595 3.2437 4.2863 -43.5524 2.0009 0.8146 0.7564  3
0440+345 16 13 58.2855 0.4705 0.2925 0.2844 34.6852 0.5695 0.3277 0.2907  8
0440-003 16 11 70.6601 0.4469 7.7550 0.4494 -0.2954 0.6310 31.3053 0.4040 10
0442+389 10  8 55.5994 3.7357 2.8211 2.4227 39.0048 11.5978 8.5688 8.8897 11
0446+112 20 15 70.8664 3.4821 0.5759 0.4913 11.3579 4.6057 1.0231 0.3769  5
0451-282 23 18 64.6533 1.8841 1.2372 1.3882 -28.1270 1.3942 1.7402 1.2656  2
0454+844 28 24 7.3507 5.3618 2.2989 1.8072 84.5346 4.9458 2.6715 1.1569  7
0454-234 30 29 68.1480 4.1378 0.3751 0.2858 -23.4145 2.7655 0.2141 0.1538  1
0454-463 10  7 51.1302 1.4446 1.1904 1.2762 -46.2663 1.1104 1.1049 0.5721 10
0454-810 22 19 11.3234 0.7406 1.8394 0.4565 -81.0173 0.3774 0.8549 0.2209  6
0457+024 21 18 74.8960 0.6046 0.4342 0.3150 2.4920 0.8478 1.1360 0.4334  2
0458-020 33 31 75.2581 0.3572 9.4199 0.0602 -1.9873 1.5909 9.7121 0.0968  3
0502+049 17 13 76.0566 0.1305 0.4944 0.1633 4.9952 0.1212 1.1697 0.3570  3
0506+101 17 11 76.1427 1.0120 1.1939 1.0052 10.1957 2.9456 3.3956 3.2599  3
0506-612 18 14 36.9877 0.9895 2.9740 3.2015 -61.1614 2.3594 0.5796 9.9823  9
0507+179 26 24 73.7114 0.4260 0.6729 0.2973 18.0116 0.4930 1.1113 0.4341  2
0515+208  9  5 74.2769 2.0443 0.9087 1.0173 20.9146 1.0693 0.6032 0.7127  7
0516-621 18 15 37.0319 5.0081 50.5478 4.8148 -62.1182 2.7727 38.4230 2.1018  7
